Date,Item,Quantity,Price,Location,Category,Location Weight,Total Daily Spending,Abnormal Score,Is Abnormal
2025-01-01,Sake,2,60,榮耀門市,Wine,5.0,230,40,No
2025-01-01,Rice Ball,2,60,中高站門市,Food,0.0,230,40,No
2025-01-01,Hot Dog,1,40,北投門市,Food,4.0,230,40,No
2025-01-01,Green Tea,1,30,冠桃園門市,Beverages,3.38,230,40,No
2025-01-01,Juice,1,40,北投門市,Beverages,4.0,230,40,No
2025-01-02,Beer,2,70,北投門市,Wine,4.0,400,50,No
2025-01-02,Milk Tea,1,45,中高站門市,Beverages,0.0,400,50,No
2025-01-02,Black Tea,2,70,北投門市,Beverages,4.0,400,50,No
2025-01-02,Coffee,1,85,榮耀門市,Beverages,5.0,400,50,No
2025-01-02,Whiskey,1,85,中高站門市,Wine,0.0,400,50,No
2025-01-02,Instant Noodles,1,45,榮耀門市,Food,5.0,400,50,No
2025-01-03,Milk Tea,2,90,冠桃園門市,Beverages,3.38,285,40,No
2025-01-03,Beer,3,105,中高站門市,Wine,0.0,285,40,No
2025-01-03,Sake,3,90,榮耀門市,Wine,5.0,285,40,No
2025-01-04,Bento,1,85,中高站門市,Food,0.0,620,50,No
2025-01-04,Milk Tea,3,135,冠桃園門市,Beverages,3.38,620,50,No
2025-01-04,Green Tea,2,60,冠桃園門市,Beverages,3.38,620,50,No
2025-01-04,Instant Noodles,3,135,北投門市,Food,4.0,620,50,No
2025-01-04,Whiskey,1,85,冠桃園門市,Wine,3.38,620,50,No
2025-01-04,Hot Dog,3,120,冠桃園門市,Food,3.38,620,50,No
2025-01-05,Stationery,3,90,豐學門市,Other,6.25,1015,60,Yes
2025-01-05,Green Tea,3,90,中高站門市,Beverages,0.0,1015,60,Yes
2025-01-05,Juice,2,800,中高站門市,Beverages,0.0,1015,60,Yes
2025-01-05,Parcel Pickup,1,35,冠桃園門市,Other,3.38,1015,60,Yes
2025-01-06,Juice,2,80,豐學門市,Beverages,6.25,450,40,No
2025-01-06,Hot Dog,3,120,豐學門市,Food,6.25,450,40,No
2025-01-06,Rice Ball,2,60,榮耀門市,Food,5.0,450,40,No
2025-01-06,Black Tea,3,105,冠桃園門市,Beverages,3.38,450,40,No
2025-01-06,Whiskey,1,85,北投門市,Wine,4.0,450,40,No
2025-01-07,Toiletries,2,170,榮耀門市,Other,5.0,1025,70,Yes
2025-01-07,Hot Dog,3,120,北投門市,Food,4.0,1025,70,Yes
2025-01-07,Juice,3,120,中高站門市,Beverages,0.0,1025,70,Yes
2025-01-07,Whiskey,3,255,北投門市,Wine,4.0,1025,70,Yes
2025-01-07,Bento,3,255,北投門市,Food,4.0,1025,70,Yes
2025-01-07,Parcel Pickup,3,105,北投門市,Other,4.0,1025,70,Yes
2025-01-08,Bento,2,1530,豐學門市,Food,6.25,1840,50,No
2025-01-08,Black Tea,2,70,榮耀門市,Beverages,5.0,1840,50,No
