Date,Item,Quantity,Price,Location,Category,Location Weight,Abnormal Score,Is Abnormal,Total Daily Spending
2025-01-01,Rice Ball,2,60,中高站門市,Food,0.0,103.17,Yes,1875
2025-01-01,Instant Noodles,3,1350,冠桃園門市,Food,3.38,103.17,Yes,1875
2025-01-01,Hot Dog,1,40,豐學門市,Food,6.25,103.17,Yes,1875
2025-01-01,Whiskey,2,170,北投門市,Wine,4.0,103.17,Yes,1875
2025-01-01,Coffee,3,255,北投門市,Beverages,4.0,103.17,Yes,1875
2025-01-02,Bento,1,85,冠桃園門市,Food,3.38,9.270000000000005,No,180
2025-01-02,Rice Ball,2,60,冠桃園門市,Food,3.38,9.270000000000005,No,180
2025-01-02,Parcel Pickup,1,35,榮耀門市,Other,5.0,9.270000000000005,No,180
2025-01-03,Juice,1,40,豐學門市,Beverages,6.25,94.19,Yes,1515
2025-01-03,Toiletries,2,170,北投門市,Other,4.0,94.19,Yes,1515
2025-01-03,Coffee,1,85,豐學門市,Beverages,6.25,94.19,Yes,1515
2025-01-03,Stationery,2,60,中高站門市,Other,0.0,94.19,Yes,1515
2025-01-03,Hot Dog,2,80,中高站門市,Food,0.0,94.19,Yes,1515
2025-01-03,Instant Noodles,3,1080,冠桃園門市,Food,3.38,94.19,Yes,1515
2025-01-04,Toiletries,2,170,中高站門市,Other,0.0,29.40000000000001,No,260
2025-01-04,Green Tea,2,60,豐學門市,Beverages,6.25,29.40000000000001,No,260
2025-01-04,Rice Ball,1,30,冠桃園門市,Food,3.38,29.40000000000001,No,260
2025-01-05,Juice,3,120,冠桃園門市,Beverages,3.38,11.07000000000001,No,255
2025-01-05,Black Tea,3,105,北投門市,Beverages,4.0,11.07000000000001,No,255
2025-01-05,Stationery,1,30,北投門市,Other,4.0,11.07000000000001,No,255
2025-01-06,Sake,3,90,榮耀門市,Wine,5.0,43.76000000000001,No,625
2025-01-06,Toiletries,1,85,北投門市,Other,4.0,43.76000000000001,No,625
2025-01-06,Bento,3,255,榮耀門市,Food,5.0,43.76000000000001,No,625
2025-01-06,Sandwich,2,70,冠桃園門市,Food,3.38,43.76000000000001,No,625
2025-01-06,Hot Dog,2,80,冠桃園門市,Food,3.38,43.76000000000001,No,625
2025-01-06,Milk Tea,1,45,北投門市,Beverages,4.0,43.76000000000001,No,625
2025-01-07,Rice Ball,1,30,冠桃園門市,Food,3.38,73.19,Yes,1455
2025-01-07,Milk Tea,3,135,榮耀門市,Beverages,5.0,73.19,Yes,1455
2025-01-07,Beer,3,1050,榮耀門市,Wine,5.0,73.19,Yes,1455
2025-01-07,Parcel Pickup,3,105,冠桃園門市,Other,3.38,73.19,Yes,1455
2025-01-07,Instant Noodles,3,135,豐學門市,Food,6.25,73.19,Yes,1455
2025-01-08,Whiskey,1,850,榮耀門市,Wine,5.0,75.21000000000001,Yes,1985
