Date,Item,Quantity,Price,Location,Category,Location Weight,Total Daily Spending
2024-01-02,牙刷,2,166,全聯 西屯福科,生活用品,0.9,758
2024-01-02,牙刷,2,248,全聯 西屯福科,生活用品,0.9,423
2024-01-02,咖啡,2,82,全聯 西屯福科,飲品,0.9,138
2024-01-02,飲料,2,82,全聯 西屯福科,飲品,0.9,456
2024-01-03,麵包,3,177,OK便利商店 北平店,食品,0.83,336
2024-01-03,飲料,3,60,OK便利商店 北平店,飲品,0.83,409
2024-01-04,咖啡,1,156,全聯 西屯福科,飲品,0.9,544
2024-01-04,牙刷,1,61,全聯 西屯福科,生活用品,0.9,106
2024-01-04,牙刷,0,61,全聯 西屯福科,生活用品,0.9,354
2024-01-04,飲料,2,127,全聯 西屯福科,飲品,0.9,126
2024-01-04,洗髮精,1,-76,全聯 西屯福科,生活用品,0.9,393
2024-01-05,飲料,0,-58,家樂福 北屯店,飲品,0.88,132
2024-01-05,咖啡,2,52,家樂福 北屯店,飲品,0.88,242
2024-01-06,麵包,4,9,全聯 西屯福科,食品,0.9,110
2024-01-06,飲料,2,134,全聯 西屯福科,飲品,0.9,482
2024-01-06,洗髮精,3,19,全聯 西屯福科,生活用品,0.9,529
2024-01-07,飲料,2,-29,全家 台中中港,飲品,0.87,282
2024-01-07,飲料,2,243,全家 台中中港,飲品,0.87,343
2024-01-07,咖啡,3,83,全家 台中中港,飲品,0.87,7
2024-01-07,洗髮精,2,111,全家 台中中港,生活用品,0.87,267
2024-01-08,牙刷,2,-30,全家 台中中港,生活用品,0.87,323
2024-01-08,飲料,2,53,全家 台中中港,飲品,0.87,927
2024-01-08,咖啡,1,115,全家 台中中港,飲品,0.87,83
2024-01-08,牙刷,3,-4,全家 台中中港,生活用品,0.87,666
2024-01-08,麵包,2,140,全家 台中中港,食品,0.87,560
2024-01-09,麵包,1,48,7-11 台中河南門市,食品,0.85,398
2024-01-09,泡麵,2,77,7-11 台中河南門市,食品,0.85,732
2024-01-09,泡麵,1,48,7-11 台中河南門市,食品,0.85,419
2024-01-09,泡麵,2,279,7-11 台中河南門市,食品,0.85,423
2024-01-09,咖啡,2,103,7-11 台中河南門市,飲品,0.85,323
2024-01-10,麵包,3,5,OK便利商店 北平店,食品,0.83,611
2024-01-10,洗髮精,2,182,OK便利商店 北平店,生活用品,0.83,583
2024-01-10,咖啡,2,-11,OK便利商店 北平店,飲品,0.83,193
2024-01-11,泡麵,3,124,全聯 西屯福科,食品,0.9,36
2024-01-11,洗髮精,3,-80,全聯 西屯福科,生活用品,0.9,289
2024-01-12,洗髮精,2,-21,全家 台中中港,生活用品,0.87,154
2024-01-12,麵包,2,123,全家 台中中港,食品,0.87,320
2024-01-12,飲料,1,174,全家 台中中港,飲品,0.87,615
2024-01-13,麵包,1,121,全聯 西屯福科,食品,0.9,231
2024-01-13,咖啡,2,94,全聯 西屯福科,飲品,0.9,325
2024-01-13,牙刷,1,76,全聯 西屯福科,生活用品,0.9,348
2024-01-13,牙刷,2,-35,全聯 西屯福科,生活用品,0.9,527
2024-01-14,牙刷,2,61,全聯 西屯福科,生活用品,0.9,198
2024-01-14,牙刷,2,204,全聯 西屯福科,生活用品,0.9,383
2024-01-14,咖啡,2,137,全聯 西屯福科,飲品,0.9,606
2024-01-15,飲料,2,-62,全聯 西屯福科,飲品,0.9,224
2024-01-15,麵包,1,68,全聯 西屯福科,食品,0.9,475
2024-01-15,洗髮精,2,41,全聯 西屯福科,生活用品,0.9,191
2024-01-15,麵包,1,162,全聯 西屯福科,食品,0.9,66
2024-01-16,洗髮精,2,202,全聯 西屯福科,生活用品,0.9,194
2024-01-16,泡麵,3,192,全聯 西屯福科,食品,0.9,293
2024-01-17,麵包,3,25,全聯 西屯福科,食品,0.9,198
2024-01-17,咖啡,3,136,全聯 西屯福科,飲品,0.9,538
2024-01-18,麵包,2,197,家樂福 北屯店,食品,0.88,623
2024-01-18,麵包,2,59,家樂福 北屯店,食品,0.88,482
2024-01-18,飲料,1,87,家樂福 北屯店,飲品,0.88,78
2024-01-18,牙刷,2,0,家樂福 北屯店,生活用品,0.88,289
2024-01-19,飲料,2,-8,全聯 西屯福科,飲品,0.9,333
2024-01-19,飲料,2,181,全聯 西屯福科,飲品,0.9,470
2024-01-19,咖啡,2,233,全聯 西屯福科,飲品,0.9,486
2024-01-20,洗髮精,2,98,全聯 西屯福科,生活用品,0.9,169
2024-01-20,洗髮精,2,199,全聯 西屯福科,生活用品,0.9,353
2024-01-21,咖啡,3,139,7-11 台中河南門市,飲品,0.85,438
2024-01-21,牙刷,3,44,7-11 台中河南門市,生活用品,0.85,664
2024-01-22,咖啡,1,139,OK便利商店 北平店,飲品,0.83,494
2024-01-22,泡麵,0,250,OK便利商店 北平店,食品,0.83,513
2024-01-22,咖啡,3,101,OK便利商店 北平店,飲品,0.83,354
2024-01-22,麵包,1,252,OK便利商店 北平店,食品,0.83,654
2024-01-23,麵包,2,-143,家樂福 北屯店,食品,0.88,427
2024-01-23,麵包,1,182,家樂福 北屯店,食品,0.88,140
2024-01-23,洗髮精,0,113,家樂福 北屯店,生活用品,0.88,652
2024-01-23,咖啡,2,76,家樂福 北屯店,飲品,0.88,493
2024-01-23,麵包,3,113,家樂福 北屯店,食品,0.88,235
2024-01-24,牙刷,2,-83,OK便利商店 北平店,生活用品,0.83,226
2024-01-24,麵包,0,84,OK便利商店 北平店,食品,0.83,402
2024-01-25,洗髮精,2,138,全聯 西屯福科,生活用品,0.9,440
2024-01-25,咖啡,2,244,全聯 西屯福科,飲品,0.9,379
2024-01-25,咖啡,1,56,全聯 西屯福科,飲品,0.9,405
2024-01-25,洗髮精,2,28,全聯 西屯福科,生活用品,0.9,719
2024-01-25,泡麵,2,57,全聯 西屯福科,食品,0.9,577
2024-01-26,洗髮精,2,191,家樂福 北屯店,生活用品,0.88,378
2024-01-26,洗髮精,2,136,家樂福 北屯店,生活用品,0.88,548
2024-01-26,牙刷,1,55,家樂福 北屯店,生活用品,0.88,101
2024-01-26,麵包,3,153,家樂福 北屯店,食品,0.88,425
2024-01-26,牙刷,2,114,家樂福 北屯店,生活用品,0.88,744
2024-01-27,麵包,2,196,7-11 台中河南門市,食品,0.85,285
2024-01-27,洗髮精,1,38,7-11 台中河南門市,生活用品,0.85,143
2024-01-27,洗髮精,2,74,7-11 台中河南門市,生活用品,0.85,187
2024-01-27,洗髮精,1,68,7-11 台中河南門市,生活用品,0.85,88
2024-01-27,飲料,2,-34,7-11 台中河南門市,飲品,0.85,157
2024-01-28,麵包,3,133,7-11 台中河南門市,食品,0.85,251
2024-01-28,泡麵,1,129,7-11 台中河南門市,食品,0.85,17
2024-01-28,麵包,1,105,7-11 台中河南門市,食品,0.85,338
2024-01-28,咖啡,3,82,7-11 台中河南門市,飲品,0.85,539
2024-01-28,洗髮精,2,-29,7-11 台中河南門市,生活用品,0.85,130
2024-01-29,麵包,1,65,全聯 西屯福科,食品,0.9,678
2024-01-29,牙刷,3,72,全聯 西屯福科,生活用品,0.9,450
2024-01-29,牙刷,1,29,全聯 西屯福科,生活用品,0.9,568
2024-01-29,咖啡,3,89,全聯 西屯福科,飲品,0.9,186
2024-01-29,牙刷,3,143,全聯 西屯福科,生活用品,0.9,528
2024-01-30,泡麵,2,283,7-11 台中河南門市,食品,0.85,88
2024-01-30,飲料,4,121,7-11 台中河南門市,飲品,0.85,536
2024-01-30,飲料,1,129,7-11 台中河南門市,飲品,0.85,374
2024-01-30,飲料,3,98,7-11 台中河南門市,飲品,0.85,460
2024-01-30,飲料,2,-77,7-11 台中河南門市,飲品,0.85,69
2024-01-31,飲料,3,102,家樂福 北屯店,飲品,0.88,132
2024-01-31,麵包,3,110,家樂福 北屯店,食品,0.88,470
2024-01-31,牙刷,2,337,家樂福 北屯店,生活用品,0.88,120
2024-02-01,麵包,1,86,全聯 西屯福科,食品,0.9,440
2024-02-01,飲料,2,133,全聯 西屯福科,飲品,0.9,26
2024-02-01,咖啡,1,101,全聯 西屯福科,飲品,0.9,527
2024-02-02,洗髮精,4,-6,7-11 台中河南門市,生活用品,0.85,56
2024-02-02,泡麵,2,212,7-11 台中河南門市,食品,0.85,460
2024-02-02,咖啡,2,176,7-11 台中河南門市,飲品,0.85,476
2024-02-02,洗髮精,2,179,7-11 台中河南門市,生活用品,0.85,177
2024-02-02,飲料,1,19,7-11 台中河南門市,飲品,0.85,466
2024-02-03,飲料,1,237,全家 台中中港,飲品,0.87,394
2024-02-03,麵包,3,-28,全家 台中中港,食品,0.87,213
2024-02-03,洗髮精,1,160,全家 台中中港,生活用品,0.87,107
2024-02-04,洗髮精,2,11,全家 台中中港,生活用品,0.87,414
2024-02-05,咖啡,3,114,OK便利商店 北平店,飲品,0.83,356
2024-02-05,泡麵,3,57,OK便利商店 北平店,食品,0.83,275
2024-02-06,飲料,1,-42,全聯 西屯福科,飲品,0.9,488
2024-02-06,牙刷,1,111,全聯 西屯福科,生活用品,0.9,266
2024-02-06,麵包,3,4,全聯 西屯福科,食品,0.9,260
2024-02-06,飲料,2,149,全聯 西屯福科,飲品,0.9,500
2024-02-06,飲料,2,18,全聯 西屯福科,飲品,0.9,411
2024-02-07,牙刷,3,251,7-11 台中河南門市,生活用品,0.85,406
2024-02-07,牙刷,2,31,7-11 台中河南門市,生活用品,0.85,441
2024-02-07,泡麵,4,181,7-11 台中河南門市,食品,0.85,506
2024-02-07,泡麵,1,-12,7-11 台中河南門市,食品,0.85,473
2024-02-08,洗髮精,3,126,7-11 台中河南門市,生活用品,0.85,105
2024-02-08,麵包,2,228,7-11 台中河南門市,食品,0.85,280
2024-02-09,咖啡,2,-47,OK便利商店 北平店,飲品,0.83,326
2024-02-09,牙刷,3,122,OK便利商店 北平店,生活用品,0.83,304
2024-02-10,洗髮精,2,129,7-11 台中河南門市,生活用品,0.85,410
2024-02-10,飲料,2,178,7-11 台中河南門市,飲品,0.85,658
2024-02-10,咖啡,3,-12,7-11 台中河南門市,飲品,0.85,579
2024-02-11,泡麵,2,-20,家樂福 北屯店,食品,0.88,38
2024-02-11,麵包,1,154,家樂福 北屯店,食品,0.88,475
2024-02-11,飲料,1,133,家樂福 北屯店,飲品,0.88,635
2024-02-12,咖啡,0,128,全聯 西屯福科,飲品,0.9,422
2024-02-12,咖啡,4,137,全聯 西屯福科,飲品,0.9,581
2024-02-12,牙刷,1,40,全聯 西屯福科,生活用品,0.9,790
2024-02-12,牙刷,2,126,全聯 西屯福科,生活用品,0.9,566
2024-02-12,麵包,2,132,全聯 西屯福科,食品,0.9,391
2024-02-13,牙刷,2,37,OK便利商店 北平店,生活用品,0.83,571
2024-02-13,飲料,3,281,OK便利商店 北平店,飲品,0.83,368
2024-02-14,牙刷,3,149,7-11 台中河南門市,生活用品,0.85,340
2024-02-14,飲料,2,-8,7-11 台中河南門市,飲品,0.85,255
2024-02-14,泡麵,2,167,7-11 台中河南門市,食品,0.85,688
2024-02-15,牙刷,2,13,OK便利商店 北平店,生活用品,0.83,150
2024-02-15,牙刷,2,179,OK便利商店 北平店,生活用品,0.83,681
2024-02-15,牙刷,3,214,OK便利商店 北平店,生活用品,0.83,448
2024-02-16,麵包,2,27,家樂福 北屯店,食品,0.88,18
2024-02-16,泡麵,3,196,家樂福 北屯店,食品,0.88,418
2024-02-17,麵包,3,182,全家 台中中港,食品,0.87,476
2024-02-17,麵包,2,284,全家 台中中港,食品,0.87,535
2024-02-17,咖啡,1,81,全家 台中中港,飲品,0.87,201
2024-02-17,牙刷,2,33,全家 台中中港,生活用品,0.87,363
2024-02-18,咖啡,1,21,7-11 台中河南門市,飲品,0.85,777
2024-02-18,咖啡,2,28,7-11 台中河南門市,飲品,0.85,220
2024-02-18,咖啡,2,97,7-11 台中河南門市,飲品,0.85,95
2024-02-18,咖啡,3,137,7-11 台中河南門市,飲品,0.85,670
2024-02-18,牙刷,2,131,7-11 台中河南門市,生活用品,0.85,779
2024-02-19,咖啡,2,183,OK便利商店 北平店,飲品,0.83,336
2024-02-19,咖啡,3,106,OK便利商店 北平店,飲品,0.83,563
2024-02-20,牙刷,2,242,7-11 台中河南門市,生活用品,0.85,638
2024-02-20,飲料,4,80,7-11 台中河南門市,飲品,0.85,167
2024-02-20,飲料,2,361,7-11 台中河南門市,飲品,0.85,225
2024-02-20,牙刷,1,164,7-11 台中河南門市,生活用品,0.85,613
2024-02-21,咖啡,3,24,家樂福 北屯店,飲品,0.88,716
2024-02-21,飲料,2,4,家樂福 北屯店,飲品,0.88,462
2024-02-21,洗髮精,3,150,家樂福 北屯店,生活用品,0.88,136
2024-02-21,飲料,3,83,家樂福 北屯店,飲品,0.88,784
2024-02-22,飲料,2,172,全聯 西屯福科,飲品,0.9,215
2024-02-22,牙刷,1,149,全聯 西屯福科,生活用品,0.9,259
2024-02-22,牙刷,2,98,全聯 西屯福科,生活用品,0.9,412
2024-02-23,麵包,1,25,OK便利商店 北平店,食品,0.83,686
2024-02-23,咖啡,2,-38,OK便利商店 北平店,飲品,0.83,528
2024-02-24,咖啡,2,62,全聯 西屯福科,飲品,0.9,429
2024-02-24,泡麵,3,185,全聯 西屯福科,食品,0.9,440
2024-02-25,洗髮精,2,125,全聯 西屯福科,生活用品,0.9,345
2024-02-25,牙刷,1,-13,全聯 西屯福科,生活用品,0.9,461
2024-02-25,咖啡,3,141,全聯 西屯福科,飲品,0.9,268
2024-02-26,牙刷,1,21,7-11 台中河南門市,生活用品,0.85,389
2024-02-26,咖啡,2,119,7-11 台中河南門市,飲品,0.85,75
2024-02-26,麵包,2,110,7-11 台中河南門市,食品,0.85,422
2024-02-26,飲料,1,-3,7-11 台中河南門市,飲品,0.85,289
2024-02-27,牙刷,3,138,全家 台中中港,生活用品,0.87,732
2024-02-27,泡麵,2,158,全家 台中中港,食品,0.87,690
2024-02-28,咖啡,2,207,全聯 西屯福科,飲品,0.9,229
2024-02-28,麵包,1,204,全聯 西屯福科,食品,0.9,301
2024-02-28,麵包,2,-25,全聯 西屯福科,食品,0.9,318
2024-02-28,洗髮精,3,16,全聯 西屯福科,生活用品,0.9,233
2024-02-29,咖啡,2,153,7-11 台中河南門市,飲品,0.85,379
2024-02-29,洗髮精,3,153,7-11 台中河南門市,生活用品,0.85,163
2024-02-29,飲料,2,153,7-11 台中河南門市,飲品,0.85,79
2024-02-29,飲料,2,468,7-11 台中河南門市,飲品,0.85,476
2024-03-01,麵包,3,158,OK便利商店 北平店,食品,0.83,477
2024-03-01,麵包,1,212,OK便利商店 北平店,食品,0.83,153
2024-03-02,牙刷,1,195,全家 台中中港,生活用品,0.87,537
2024-03-02,洗髮精,1,166,全家 台中中港,生活用品,0.87,192
2024-03-02,飲料,3,75,全家 台中中港,飲品,0.87,392
2024-03-02,麵包,2,176,全家 台中中港,食品,0.87,520
2024-03-02,洗髮精,4,32,全家 台中中港,生活用品,0.87,327
2024-03-03,麵包,2,82,7-11 台中河南門市,食品,0.85,438
2024-03-03,麵包,2,59,7-11 台中河南門市,食品,0.85,218
2024-03-03,飲料,3,112,7-11 台中河南門市,飲品,0.85,290
2024-03-04,麵包,4,323,全聯 西屯福科,食品,0.9,288
2024-03-04,飲料,4,-72,全聯 西屯福科,飲品,0.9,166
2024-03-04,麵包,3,169,全聯 西屯福科,食品,0.9,295
2024-03-05,泡麵,2,60,全家 台中中港,食品,0.87,224
2024-03-05,牙刷,3,207,全家 台中中港,生活用品,0.87,270
2024-03-05,飲料,2,111,全家 台中中港,飲品,0.87,277
2024-03-06,洗髮精,1,3,7-11 台中河南門市,生活用品,0.85,280
2024-03-06,泡麵,2,37,7-11 台中河南門市,食品,0.85,321
2024-03-07,麵包,2,169,OK便利商店 北平店,食品,0.83,443
2024-03-07,飲料,2,36,OK便利商店 北平店,飲品,0.83,533
2024-03-07,飲料,3,125,OK便利商店 北平店,飲品,0.83,188
2024-03-08,飲料,3,109,全聯 西屯福科,飲品,0.9,63
2024-03-08,咖啡,2,43,全聯 西屯福科,飲品,0.9,99
2024-03-08,洗髮精,3,307,全聯 西屯福科,生活用品,0.9,225
2024-03-08,麵包,1,164,全聯 西屯福科,食品,0.9,255
2024-03-09,洗髮精,2,-87,全家 台中中港,生活用品,0.87,161
2024-03-09,泡麵,1,122,全家 台中中港,食品,0.87,42
2024-03-10,洗髮精,0,42,OK便利商店 北平店,生活用品,0.83,232
2024-03-10,飲料,2,185,OK便利商店 北平店,飲品,0.83,376
2024-03-10,泡麵,2,30,OK便利商店 北平店,食品,0.83,469
2024-03-11,麵包,3,94,家樂福 北屯店,食品,0.88,209
2024-03-11,咖啡,2,152,家樂福 北屯店,飲品,0.88,241
2024-03-11,麵包,1,186,家樂福 北屯店,食品,0.88,125
2024-03-11,咖啡,4,-9,家樂福 北屯店,飲品,0.88,328
2024-03-11,麵包,3,73,家樂福 北屯店,食品,0.88,143
2024-03-12,牙刷,2,60,OK便利商店 北平店,生活用品,0.83,464
2024-03-12,洗髮精,1,271,OK便利商店 北平店,生活用品,0.83,253
2024-03-12,泡麵,2,143,OK便利商店 北平店,食品,0.83,403
2024-03-12,泡麵,3,-14,OK便利商店 北平店,食品,0.83,376
2024-03-13,咖啡,4,191,OK便利商店 北平店,飲品,0.83,944
2024-03-13,泡麵,3,305,OK便利商店 北平店,食品,0.83,414
2024-03-13,飲料,2,202,OK便利商店 北平店,飲品,0.83,108
2024-03-13,泡麵,1,-39,OK便利商店 北平店,食品,0.83,313
2024-03-14,麵包,1,224,全家 台中中港,食品,0.87,317
2024-03-14,飲料,2,38,全家 台中中港,飲品,0.87,146
2024-03-14,麵包,2,146,全家 台中中港,食品,0.87,542
2024-03-15,麵包,2,178,全家 台中中港,食品,0.87,211
2024-03-15,麵包,1,17,全家 台中中港,食品,0.87,308
2024-03-15,洗髮精,2,99,全家 台中中港,生活用品,0.87,191
2024-03-15,牙刷,2,-201,全家 台中中港,生活用品,0.87,728
2024-03-16,麵包,1,8,OK便利商店 北平店,食品,0.83,262
2024-03-16,洗髮精,0,81,OK便利商店 北平店,生活用品,0.83,749
2024-03-17,洗髮精,2,-13,OK便利商店 北平店,生活用品,0.83,519
2024-03-17,洗髮精,3,259,OK便利商店 北平店,生活用品,0.83,444
2024-03-17,泡麵,3,-30,OK便利商店 北平店,食品,0.83,418
2024-03-17,洗髮精,2,63,OK便利商店 北平店,生活用品,0.83,424
2024-03-18,麵包,2,241,家樂福 北屯店,食品,0.88,272
2024-03-18,飲料,1,-31,家樂福 北屯店,飲品,0.88,526
2024-03-19,洗髮精,2,214,7-11 台中河南門市,生活用品,0.85,324
2024-03-19,麵包,3,106,7-11 台中河南門市,食品,0.85,17
2024-03-19,咖啡,3,12,7-11 台中河南門市,飲品,0.85,323
2024-03-19,飲料,2,148,7-11 台中河南門市,飲品,0.85,720
2024-03-20,洗髮精,2,123,OK便利商店 北平店,生活用品,0.83,617
2024-03-20,麵包,1,48,OK便利商店 北平店,食品,0.83,321
2024-03-20,麵包,1,111,OK便利商店 北平店,食品,0.83,550
